Rule,Invocations,Time (ms),Total k,Max k,Ambiguities,DFA cache miss
htmlDocument:0,1,3.491660058498383e-7,1,1,0,1
htmlDocument:1,1,5.209999978542328e-7,1,1,0,1
htmlDocument:2,1,1.2524998188018798e-7,1,1,0,1
htmlDocument:3,1,7.975000143051147e-8,1,1,0,1
htmlDocument:4,1,1.8575000762939453e-7,1,1,0,1
htmlDocument:5,2,1.3345900177955627e-7,2,1,0,2
htmlElements:6,1,7.270899415016175e-8,1,1,0,1
htmlElements:7,1,6.375000178813935e-7,1,1,0,1
htmlElement:8,2,4.662501811981201e-8,2,1,0,2
htmlElement:9,1,4.579198360443115e-8,1,1,0,1
htmlElement:10,1,0.000016971832990646364,27,15,0,25
htmlElement:11,1,2.2040992975234986e-8,1,1,0,1
htmlElement:12,1,3.575000166893005e-8,1,1,0,1
htmlContent:13,2,1.831670105457306e-7,2,1,0,2
htmlContent:14,4,4.7200003266334533e-7,7,2,0,6
htmlAttribute:15,1,4.3334007263183594e-8,1,1,0,1
htmlMisc:16,0,0,0,0,0,0
dynamicBlock:17,1,1.9491702318191528e-7,2,2,0,2
ifStatement:18,1,6.99169933795929e-8,2,2,0,2
ifStatement:19,1,4.9207985401153565e-8,2,2,0,2
outputBlock:20,1,4.408299922943115e-8,1,1,0,1
filterChain:21,0,0,0,0,0,0
expression:22,1,0.00000549354100227356,4,2,1,4
variantValueExpression:23,2,3.324999809265137e-7,4,2,0,2
rootVariantValueExpression:24,2,1.8858298659324646e-7,4,2,0,2
memberValueExpression:25,0,0,0,0,0,0
member:26,0,0,0,0,0,0
argumentList:27,0,0,0,0,0,0
argumentList:28,0,0,0,0,0,0
stringExpression:29,0,0,0,0,0,0
stringAtom:30,0,0,0,0,0,0
booleanExpression:31,1,6.308302283287049e-8,1,1,0,1
andExpression:32,1,6.3541978597641e-8,1,1,0,1
booleanAtom:33,1,4.264160096645355e-7,2,2,0,2
arithmeticExpression:34,0,0,0,0,0,0
arithmeticExpression:35,0,0,0,0,0,0
multiplicationExpression:36,0,0,0,0,0,0
multiplicationExpression:37,0,0,0,0,0,0
arithmeticAtom:38,0,0,0,0,0,0
